Title,Price,Link
Smart 4K ტელევიზორი Sunny 55 SN55FIL252/0276 55 inch (140 სმ),"
      999 ლარი
      
",//isurve.ge/cdn/shop/files/1-min_002848b3-37e1-40c5-9288-25d4aadca5b8_50x50.jpg?v=1696862242
Smart Android 4K ტელევიზორი Grundig 65 GGU 8960 65 inch (164სმ),"
      2,099 ლარი
      
",//isurve.ge/cdn/shop/files/1-min_b3e7279e-5d8d-4946-8820-1000f21d9028_50x50.jpg?v=1701075592
Smart Android 4K ტელევიზორი Grundig 55 GGU 8960 55 inch (139სმ),"1,699 ლარი",//isurve.ge/cdn/shop/files/1-min_ba547006-00de-4ffc-a3be-ff8f895661f3_50x50.jpg?v=1701073495
Smart Android 4k ტელევიზორი Grundig 50 GGU 7900B 50 inch (126სმ),"
      1,199 ლარი
      
",//isurve.ge/cdn/shop/files/1-min_5fd3b9ed-ff93-4362-946d-75941577f63c_50x50.jpg?v=1701072267
Smart Android 4K ტელევიზორი Grundig 43 GFU 7800B 43 inch (108სმ),"
      999 ლარი
      
",//isurve.ge/cdn/shop/files/11-min_7bf5913b-c823-45cd-aa33-183e0260426a_50x50.jpg?v=1701031334
Smart 4K Android ტელევიზორი Vestel 55U9550T 55 inch (140 სმ),"1,365 ლარი",//isurve.ge/cdn/shop/files/1-min_4888a00e-8b58-4a13-aba0-664e1201d8f2_50x50.jpg?v=1697717731
Smart 4K ტელევიზორი Sunny 65 SN65FIL252 65 inch (165 სმ),"
      1,249 ლარი
      
",//isurve.ge/cdn/shop/files/1-min_7d216b0d-1f10-4bed-bf3b-bafbb8c8f55d_50x50.jpg?v=1696862558
Smart 4K ტელევიზორი Sunny 50 SN50FIL252/0276 50 inch (126 სმ),"
      899 ლარი
      
",//isurve.ge/cdn/shop/files/1-min_88182f69-cfcd-41e6-91a4-44571961eddd_50x50.jpg?v=1696861291
Smart 4K Android ტელევიზორი Vox 55VAU754B 55 inch (140 სმ),"
      999 ლარი
      
",//isurve.ge/cdn/shop/files/1-min_436974f7-24c0-4738-9d38-7ef69323e6c7_50x50.jpg?v=1696695705
Smart Android ტელევიზორი Grundig 40 GFF 6900B 40 inch (102სმ),"
      869 ლარი
      
",//isurve.ge/cdn/shop/products/1-min_ddb322a1-48bc-4942-843d-ec6449289e1a_50x50.jpg?v=1659435713
Smart Android 4K ტელევიზორი Vox 65A11U314B 65 inch (165 სმ),"
      1,449 ლარი
      
",//isurve.ge/cdn/shop/files/1-min_93e96300-f065-43e3-9ca1-e25266dc19d4_50x50.jpg?v=1685808571
ტელევიზორი VOX 32DSA314B 32 inch (81სმ),"
      319 ლარი
      
",//isurve.ge/cdn/shop/products/1-min_3a8a7dc4-18cd-4382-aa88-2ec90762cdb0_50x50.jpg?v=1657553596
Smart Android ტელევიზორი Metz 42MTC6000 42 inch (106 სმ),"
      899 ლარი
      
",//isurve.ge/cdn/shop/products/1-min_2be10d5e-4d32-4b49-8208-b0c8bcaa1033_50x50.jpg?v=1654951614
